uuid,acq,activations,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,nn_fixed,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay
010c86de,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:56.721821,50,50,50,,1000,funcs2,[0.38484362],[-0.38484362],0.01,dngo,20,200,010c86de--g-funcs2-s-1-m-dngo-nn-10-agg-average-init-20-k-200-f-levy,average,True,0,10,40,levy,1,0.0
03a27ee0,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:00:59.889337,50,50,50,,100,epoch,[0.04602957],[-0.44391693],0.01,dngo,20,200,03a27ee0--g-epoch-s-1-m-dngo-init-20-k-200-e-100-f-branin,median,True,0,1,200,branin,1,0.0
03d09b9d,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:27.532897,50,50,50,,1000,ensemble,[0.00080289],[-0.39869025],0.01,dngo,20,200,03d09b9d--g-ensemble-s-1-m-dngo-init-20-k-200-f-branin-nn-5-agg-median,median,True,0,5,200,branin,1,0.0
05d337b1,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:00.662795,50,50,50,,1000,l2,[6.64917293e-07],[-0.39788802],0.01,gp,20,200,05d337b1--g-l2-s-1-m-gp-init-20-k-200-f-branin,median,True,0,1,200,branin,1,0.0
06f21134,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:00:29.395403,50,50,50,,1000,l2,[2.46496105e-08],[-0.04292637],0.01,dngo,20,200,06f21134--g-l2-s-1-m-dngo-init-20-k-200-l2-0.0001-f-sinone,median,True,0,1,200,sinone,1,0.0001
0c809dfc,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:00.663646,50,50,50,,1000,l2,[1.24570949e-07],[-0.04292647],0.01,dngo,20,200,0c809dfc--g-l2-s-1-m-dngo-init-20-k-200-l2-0.0-f-sinone,median,True,0,1,200,sinone,1,0.0
10204a64,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:03:13.375652,50,50,50,,10000,epoch,[1.68321276e-05],[3.8627627],0.01,dngo,20,200,10204a64--g-epoch-s-1-m-dngo-init-20-k-200-e-10000-f-hartmann3,median,True,0,1,200,hartmann3,1,0.0
120ab470,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:00.366999,50,50,50,,10000,epoch,[1.4164733e-07],[-0.04292648],0.01,dngo,20,200,120ab470--g-epoch-s-1-m-dngo-init-20-k-200-e-10000-f-sinone,median,True,0,1,200,sinone,1,0.0
13561158,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:42.203606,50,50,50,,1000,funcs,[1.25621979e-06],[1.03162716],0.01,gp,30,200,13561158--g-funcs-s-1-m-gp-init-30-k-200-f-camelback,median,True,0,1,190,camelback,1,0.0
15ab4e5b,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:12.600057,50,50,50,,1000,funcs,[0.77313849],[3.08964104],0.01,dngo,30,200,15ab4e5b--g-funcs-s-1-m-dngo-l2-0.0001-init-30-k-200-f-hartmann3,median,True,0,1,200,hartmann3,1,0.0001
19bc1573,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:00.196442,50,50,50,,1000,ensemble,[0.00330156],[-0.40118891],0.01,dngo,20,200,19bc1573--g-ensemble-s-1-m-dngo-init-20-k-200-f-branin,median,True,0,1,200,branin,1,0.0
19ffdc43,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:27.760183,50,50,50,,1000,ensemble,[0.0015495],[-0.39943685],0.01,dngo,20,200,19ffdc43--g-ensemble-s-1-m-dngo-init-20-k-200-f-branin-nn-5-agg-average,average,True,0,5,200,branin,1,0.0
2734448f,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:00:29.630106,50,50,50,,1000,l2,[0.00660754],[-0.4044949],0.01,dngo,20,200,2734448f--g-l2-s-1-m-dngo-init-20-k-200-l2-0.001-f-branin,median,True,0,1,200,branin,1,0.001
2904797b,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:27.475474,50,50,50,,1000,ensemble,[0.02375857],[-0.42164592],0.01,dngo,20,200,2904797b--g-ensemble-s-1-m-dngo-init-20-k-200-f-branin-nn-10-agg-max,max,True,0,10,200,branin,1,0.0
2a236e39,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:33:56.212778,50,50,50,,1000,funcs2,[1.42978638],[1.89258164],0.01,dngo,20,200,2a236e39--g-funcs2-s-1-m-dngo-init-20-k-200-f-hartmann6,median,True,0,1,10,hartmann6,1,0.0
2b44110f,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:33:56.211661,50,50,50,,1000,funcs2,[2.54878175e-07],[6.02073975],0.01,dngo,20,200,2b44110f--g-funcs2-s-1-m-dngo-init-20-k-200-f-forrester,median,True,0,1,100,forrester,1,0.0
2d4947bc,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:42.393362,50,50,50,,1000,funcs,[4.27622935],[-4.27622935],0.01,dngo,30,200,2d4947bc--g-funcs-s-1-m-dngo-l2-0.0001-init-30-k-200-f-bohachevsky,median,True,0,1,200,bohachevsky,1,0.0001
317b4dd2,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:11.242677,50,50,50,,1000,funcs,[0.58519153],[-0.58519153],0.01,gp,30,200,317b4dd2--g-funcs-s-1-m-gp-init-30-k-200-f-bohachevsky,median,True,0,1,130,bohachevsky,1,0.0
332851ee,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:41.835409,50,50,50,,1000,funcs,[5.05854057e-07],[6.02073949],0.01,dngo,30,200,332851ee--g-funcs-s-1-m-dngo-l2-0.0001-init-30-k-200-f-forrester,median,True,0,1,200,forrester,1,0.0001
34387770,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:56.051265,50,50,50,,1000,funcs2,[0.00569376],[-0.0486201],0.01,dngo,20,200,34387770--g-funcs2-s-1-m-dngo-nn-10-agg-average-init-20-k-200-f-sinone,average,True,0,10,10,sinone,1,0.0
34828762,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:43.366957,50,50,50,,1000,funcs,[8.05868542e-06],[1.03162036],0.01,dngo,30,200,34828762--g-funcs-s-1-m-dngo-l2-0.0001-init-30-k-200-f-camelback,median,True,0,1,200,camelback,1,0.0001
34db7c06,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:13.028383,50,50,50,,1000,funcs,[0.62470649],[-3.62470649],0.01,dngo,30,200,34db7c06--g-funcs-s-1-m-dngo-l2-0.0001-nn-10-agg-average-init-30-k-200-f-goldsteinprice,average,True,0,10,200,goldsteinprice,1,0.0001
